ID,NOMBRE,CANTIDAD,PRECIO COMPRA,PRECIO VENTA,CÓDIGO BARRAS ITEM,CÓDIGO BARRAS CAJA,UNIDAD MEDIDA,CATEGORÍA
,ARISTOTELES,50,0.19,1,7501875928671,,Pieza,BIOGRAFÍA
,ARQUÍMEDES,50,0.19,1,7501875929418,,Pieza,BIOGRAFÍA
,LUDWIG VAN BEETHOVEN,50,0.19,1,7501875927087,,Pieza,BIOGRAFÍA
,JUÁREZ BENITO,50,0.19,1,7501875926561,,Pieza,BIOGRAFÍA
,NAPOLEÓN BONAPARTE,50,0.19,1,7501875927766,,Pieza,BIOGRAFÍA
,MIGUEL DE CERVANTES SAAVEDRA,50,0.19,1,7501875927636,,Pieza,BIOGRAFÍA
,NICOLÁS COPÉRNICO,50,0.19,1,7501875929951,,Pieza,BIOGRAFÍA
,COLÓN CRISTÓBAL,50,0.19,1,7501875941489,,Pieza,BIOGRAFÍA
,SOR JUANA INÉS DE LA CRUZ,50,0.19,1,7501875926745,,Pieza,BIOGRAFÍA
,JHOHN DALTON,50,0.19,1,7501875933170,,Pieza,BIOGRAFÍA
,CARLOS DARWIN,50,0.19,1,7501875930032,,Pieza,BIOGRAFÍA
,RENATO DESCARTES,50,0.19,1,7501875930049,,Pieza,BIOGRAFÍA
,TOMAS ALBA EDISON,50,0.19,1,7501875927735,,Pieza,BIOGRAFÍA
,ALBERTO EINSTEIN,50,0.19,1,7501875928053,,Pieza,BIOGRAFÍA
,BENJAMIN FRANKLIN,50,0.19,1,7501875927698,,Pieza,BIOGRAFÍA
,HERMENEGILDO GALEANA,50,0.19,1,7501875926790,,Pieza,BIOGRAFÍA
,GALILEO GALILEI,50,0.19,1,7501875928046,,Pieza,BIOGRAFÍA
,ADOLFO HITLER,50,0.19,1,7501875929135,,Pieza,BIOGRAFÍA
,ALLENDE IGNACIO,50,0.19,1,7501875926486,,Pieza,BIOGRAFÍA
,MORELOS Y PAVÓN JOSÉ MA,50,0.19,1,7501875926462,,Pieza,BIOGRAFÍA
