NOMBRE,CANTIDAD,PRECIO COMPRA,PRECIO VENTA,CÓDIGO BARRAS ITEM,CÓDIGO BARRAS CAJA,UNIDAD MEDIDA,CATEGORÍA
COMPAS ESCOLAR METALICO ECONOMICO,12,9.15,15,,,Pieza,COMPAS ESCOLAR
CUCHILLAS PARA CUTTER GRANDE CON 10 IMPORTADO,12,19.15,25,6935403102461,,Pieza,CUCHILLA PARA CUTTER GRANDE
CUTTER JUMBO CHICO 9 MM,12,7.67,12,7502285732018,,Pieza,CUTTER JUMBO CHICO
CUTTER PASCUA GRANDE REFORZADO,6,23.16,35,7501987510177,,Pieza,CUTTER PASCUA GRANDE REFORZADO
NOTAS ADH FIGURAS 3X3 PAQ CON 10,10,9.15,15,6970221720015,,Pieza,NOTA ADHESIVA PAQUETE POR 10
SOLICITUD DE EMPLEO DIPAO 25H CON 3,150,1.05,2,7500462025168,,Pieza,SOLICITUD DE EMPLEO
BLOCK MILIMETRICO DIPAO CON 50,150,0.66,2,7500462060695,,Pieza,BLOCK MILIMETRICO
CARTA PODER DIPAO CON 50 PIEZAS,50,0.73,2,,,Pieza,CARTA PODER
NOTAS ADHESIVAS CON 20 EN BLISTER,60,3.66,10,6970221720015,,Pieza,NOTA ADHESIVA CON 20 BLISTER
CLIPS PASCUA DE COLORES ESTUCHE CON 100,12,16.16,25,7506193720242,,Pieza,CLIPS COLORES PASCUA
SOBRE ECONOMICO HORIZONTAL CON 12 MODELOS DECORADO,24,10.16,20,6971261128021,,Pieza,SOBRE PLASTICO HORIZONTAL
MARCADOR BACO PERMANENTE 218 ROJO,24,9.15,15,7501174984019,,Pieza,MARCADOR PERMANENTE BACO ROJO
MARCADOR BACO PERMANENTE 218 NEGRO,24,9.15,15,7501174984002,,Pieza,MARCADOR PERMANENTE BACO NEGRO
MARCADOR BACO PERMANENTE 218 AZUL,24,9.15,15,7501174984026,,Pieza,MARCADOR PERMANENTE BACO AZUL
LAPIZ PASCUA DUO CON 10,40,4.41,6,7506193790054,,Pieza,LAPIZ DUO PASCUA
CUTTER TIRA CON 12 ECONOMICO CHICO,24,4.15,8,6920805678287,,Pieza,CUTTER ECO CHICO
CUTTER TIRA CON 12 ECONOMICO GRANDE,24,5.99,12,6920805677228,,Pieza,CUTTER ECO GRANDE
SILICON MATIZ GRUESO 1 KG EN BARRA,38,5.3,9,7501987590360,,Pieza,SILICON EN BARRA GRUESO
SILICON MATIZ DELGADO 1 KG EN BARRA,94,2.24,5,7501987590346,,Pieza,SILICON EN BARRA DELGADO
SILICON PASCUA LIQUIDO 60 ML,24,14.95,23,7501987560400,,Pieza,SILICON LIQUIDO 60ML
SILICON PASCUA LIQUIDO 30 ML,24,9.92,15,7501987560127,,Pieza,SILICON LIQUIDO 30ML
PEGAMENTO BRONKOS DE 125GR ECONOMICO,24,10.66,16,,,Pieza,PEGAMENTO ECO 125GR
PEGAMENTO BRONKOS DE 60GR ECONOMICO,24,4.65,10,,,Pieza,PEGAMENTO ECO 60GR
