ID,NOMBRE,CANTIDAD,PRECIO COMPRA,PRECIO VENTA,CÓDIGO BARRAS ITEM,CÓDIGO BARRAS CAJA,UNIDAD MEDIDA,CATEGORÍA
,PAQUETE BILLETE (20-50-100),16,5.5,12,,,Pieza,PAQUETE BILLETE 20-50-100
,PAQUETE BILLETE (200-500-1000),16,5.5,12,,,Pieza,PAQUETE BILLETE 200-500-1000
,CUADERNO PASTA DURA MEDIANO,5,25.5,35,,,Pieza,CUADERNO PASTA DURA MEDIANO
,CUADERNO PASTA BLANDA MEDIANO,5,15.5,25,,,Pieza,CUADERNO PASTA BLANDA MEDIANO
,CUADERNO PASTA DURA PEQUEÑO,5,17.5,23,,,Pieza,CUADERNO PASTA DURA PEQUEÑO
,AJENDA PEQUEÑA SIRENITA,2,35.5,45,,,Pieza,AJENDA SIRENITA
,ROMPECABEZAS DE MADERA,30,12.5,25,,,Pieza,ROMPECABEZA DE MADERA
,PLUMONES PATO,24,20.5,30,8168138230590,,Pieza,PLUMONES PATO
,LAPICERAS METALICAS,12,13,20,,,Pieza,LAPICERA METALICA
,SACAPUNTAS DECORATIVOS,24,5.5,12,,,Pieza,SACAPUNTA DECORATIVO
,PLUMAS DE PAQUETE UNICORNIO,20,4.5,13,,,Pieza,PLUMA PAQUETE UNICORNIO
,PLUMAS KAWAII,120,4.5,13,,,Pieza,PLUMAS KAWAII
,PLUMAS DE PERSONAJES,24,6,13,,6,Pieza,PLUMA DE PERSONAJE
,LIBRETA PEQUEÑA DE PAQUETE,64,12.5,18,,,Pieza,LIBRETA PEQUEÑA PAQUETE
,GOMAS KAWAII,192,3,10,,,Pieza,GOMA KAWAII
,GOMAS DE AGUACATE,24,4,12,,,Pieza,GOMA AGUACATE
,CRAYOLAS DE 6 PIEZAS,12,3.5,10,8810086000137,,Pieza,CRAYOLA POR 6
,CRAYOLAS DE 8 PIEZAS,12,4.5,15,NB8,,Pieza,CRAYOLA POR 8
,STICKERS DIBUJOS ANIMADOS,100,3.8,15,,,Pieza,STICKERS DIBUJO ANIMADO
,CRAYOLAS DE 12 PIEZAS,12,5.5,20,8810086000144,,Pieza,CRAYOLA POR 12
